duration-s	episode-class	frequency-measure	frequency-threshold	num-candidates	num-frequent-episodes	status	window-width	duration-0.0	num-confident-association-rules-0.0	duration-0.2	num-confident-association-rules-0.2	duration-0.4	num-confident-association-rules-0.4	duration-0.6	num-confident-association-rules-0.6	duration-0.8	num-confident-association-rules-0.8	duration-1.0	num-confident-association-rules-1.0
0.20494367999999902	serial	minimal-windows	21.0	2064	28	success	900	2.589000001052e-06	0	1.705000002516499e-06	0	1.6840000007789513e-06	0	1.629999999863685e-06	0	1.7190000001221506e-06	0	1.6619999989586631e-06	0
2.264424541	serial	minimal-windows	14.0	62429	503	success	900	0.003317735999999627	560	0.0031388969999994742	560	0.004584209000000783	560	0.0032371809999993673	540	0.0018384309999994741	226	0.0012360489999991842	14
8.158611626000003	serial	minimal-windows	9.0	288435	3574	timeout	900	0.11959475800000519	12012	0.12228227500000344	12012	0.10984489799999864	11891	0.06196232399999957	6378	0.03958705499999837	1677	0.03802673500000253	204
