duration-s	episode-class	frequency-measure	frequency-threshold	num-candidates	num-frequent-episodes	status	window-width	num-frequent-1-episodes	num-frequent-2-episodes	num-frequent-3-episodes	num-frequent-4-episodes	num-frequent-5-episodes	num-frequent-6-episodes	num-frequent-7-episodes	num-frequent-8-episodes	num-frequent-9-episodes	num-frequent-10-episodes	num-frequent-11-episodes	num-frequent-12-episodes	num-frequent-13-episodes	num-frequent-14-episodes	num-frequent-15-episodes	percentage-frequent-of-candidates
0.136545217999999	parallel	minimal-windows	25.0	1295	5	success	900	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003861003861003861
0.38539082099999905	parallel	minimal-windows	18.0	6558	174	success	900	102	57	14	1	0	0	0	0	0	0	0	0	0	0	0	0.026532479414455627
2.124116569	parallel	minimal-windows	13.0	48666	5252	success	900	284	922	1808	1479	609	136	14	0	0	0	0	0	0	0	0	0.10791928656556939
16.303053908	parallel	minimal-windows	9.0	224758	68143	success	900	528	2273	8705	18013	19885	12544	4842	1183	161	9	0	0	0	0	0	0.3031838688722982
