duration-s	episode-class	frequency-measure	frequency-threshold	num-candidates	num-frequent-episodes	status	window-width	num-frequent-1-episodes	num-frequent-2-episodes	num-frequent-3-episodes	num-frequent-4-episodes	num-frequent-5-episodes	num-frequent-6-episodes	duration-rules-0.0	num-confident-rules-0.0	percentage-frequent-of-candidates
0.09991897300000101	parallel	weighted-windows	1334.8388671875	8051	1	success	15	1	0	0	0	0	0	3.9180000044325425e-06	0	0.00012420817289777666
0.09989474599996101	parallel	weighted-windows	1001.129150390625	8051	1	success	15	1	0	0	0	0	0	3.4159999700023036e-06	0	0.00012420817289777666
0.10199150900001501	parallel	weighted-windows	750.8468627929688	8056	3	success	15	3	0	0	0	0	0	4.4039999806955166e-06	0	0.0003723932472691162
0.14120980699999502	parallel	weighted-windows	563.1351470947266	8155	14	success	15	14	0	0	0	0	0	1.1638999978913489e-05	0	0.0017167381974248926
0.218076386000007	parallel	weighted-windows	422.3513603210449	8401	26	success	15	26	0	0	0	0	0	1.8125999986295938e-05	0	0.003094869658374003
0.382394739999995	parallel	weighted-windows	316.7635202407837	9040	44	success	15	44	0	0	0	0	0	2.986200001942052e-05	0	0.0048672566371681415
0.628728883999997	parallel	weighted-windows	237.57264018058777	10261	68	success	15	66	2	0	0	0	0	7.972500003461391e-05	4	0.006627034402105058
1.148372847000018	parallel	weighted-windows	178.17948013544083	13828	109	success	15	107	2	0	0	0	0	0.00010007399998812616	4	0.007882557130459936
1.918001772000025	parallel	weighted-windows	133.63461010158062	19985	157	success	15	154	3	0	0	0	0	0.00014100499998903615	6	0.007855891918939205
3.436494912	parallel	weighted-windows	100.22595757618546	34615	234	success	15	230	4	0	0	0	0	0.0001882189999946604	8	0.006760075111945688
6.087883251999983	parallel	weighted-windows	75.1694681821391	60700	328	success	15	324	4	0	0	0	0	0.0002397330000007969	8	0.005403624382207578
10.915813939999964	parallel	weighted-windows	56.377101136604324	118266	474	success	15	469	5	0	0	0	0	0.0003359509999540933	9	0.004007914362538684
16.56398626500004	parallel	weighted-windows	42.28282585245324	200561	627	success	15	620	7	0	0	0	0	0.00044579600000815844	13	0.003126230922263052
25.297066415000018	parallel	weighted-windows	31.712119389339932	360442	859	success	15	839	20	0	0	0	0	0.0007674440000187133	38	0.0023831850894179924
38.02147848300001	parallel	weighted-windows	23.78408954200495	644839	1175	success	15	1128	45	2	0	0	0	0.0012543640000330925	97	0.001822160260157962
51.935031837	parallel	weighted-windows	17.838067156503712	1031336	1534	success	15	1430	101	3	0	0	0	0.0020269589999770687	212	0.001487391112110893
66.10117428399997	parallel	weighted-windows	13.378550367377784	1483319	1934	timeout	15	1717	210	7	0	0	0	0.0033811039999136483	446	0.0013038328235531265
