duration-s	episode-class	frequency-measure	frequency-threshold	num-candidates	num-frequent-episodes	status	window-width	num-frequent-1-episodes	num-frequent-2-episodes	num-frequent-3-episodes	num-frequent-4-episodes	num-frequent-5-episodes	num-frequent-6-episodes	num-frequent-7-episodes	num-frequent-8-episodes	duration-rules-0.0	num-confident-rules-0.0	duration-rules-0.2	num-confident-rules-0.2	duration-rules-0.4	num-confident-rules-0.4	duration-rules-0.6	num-confident-rules-0.6	duration-rules-0.8	num-confident-rules-0.8	duration-rules-1.0	num-confident-rules-1.0	percentage-frequent-of-candidates
0.087792282	serial	weighted-windows	500.0	6734	4	success	8	4	0	0	0	0	0	0	0	4.729999999994461e-06	0.0	4.729999999994461e-06	0.0	4.729999999994461e-06	0.0	4.729999999994461e-06	0.0	4.729999999994461e-06	0.0	4.729999999994461e-06	0.0	0.000594000594000594
0.106617875	serial	weighted-windows	375.0	6743	5	success	8	5	0	0	0	0	0	0	0	1.6979999999944262e-06	0.0	1.6979999999944262e-06	0.0	1.6979999999944262e-06	0.0	1.6979999999944262e-06	0.0	1.6979999999944262e-06	0.0	1.6979999999944262e-06	0.0	0.0007415097137772505
0.18521936900000002	serial	weighted-windows	281.25	6943	15	success	8	15	0	0	0	0	0	0	0	2.6479999999939885e-06	0.0	2.6479999999939885e-06	0.0	2.6479999999939885e-06	0.0	2.6479999999939885e-06	0.0	2.6479999999939885e-06	0.0	2.6479999999939885e-06	0.0	0.002160449373469682
0.324523281	serial	weighted-windows	210.9375	7502	28	success	8	28	0	0	0	0	0	0	0	2.5110000000383437e-06	0.0	2.5110000000383437e-06	0.0	2.5110000000383437e-06	0.0	2.5110000000383437e-06	0.0	2.5110000000383437e-06	0.0	2.5110000000383437e-06	0.0	0.003732338043188483
0.61452529	serial	weighted-windows	158.203125	8834	46	success	8	46	0	0	0	0	0	0	0	2.9290000000958827e-06	0.0	2.9290000000958827e-06	0.0	2.9290000000958827e-06	0.0	2.9290000000958827e-06	0.0	2.9290000000958827e-06	0.0	2.9290000000958827e-06	0.0	0.005207154177043242
1.6009234270000001	serial	weighted-windows	118.65234375	14114	86	success	8	86	0	0	0	0	0	0	0	4.015000000023861e-06	0.0	4.015000000023861e-06	0.0	4.015000000023861e-06	0.0	4.015000000023861e-06	0.0	4.015000000023861e-06	0.0	4.015000000023861e-06	0.0	0.006093240753861414
3.7391097120000003	serial	weighted-windows	88.9892578125	24943	136	success	8	135	1	0	0	0	0	0	0	3.456700000015189e-05	2.0	3.456700000015189e-05	0.0	3.456700000015189e-05	0.0	3.456700000015189e-05	0.0	3.456700000015189e-05	0.0	3.456700000015189e-05	0.0	0.005452431543920138
9.213294316999999	serial	weighted-windows	66.741943359375	49154	207	success	8	206	1	0	0	0	0	0	0	3.205199999989361e-05	2.0	3.205199999989361e-05	0.0	3.205199999989361e-05	0.0	3.205199999989361e-05	0.0	3.205199999989361e-05	0.0	3.205199999989361e-05	0.0	0.00421125442486878
15.545857313	serial	weighted-windows	50.05645751953125	85679	284	success	8	281	3	0	0	0	0	0	0	8.937999999858448e-05	6.0	8.937999999858448e-05	1.0	8.937999999858448e-05	0.0	8.937999999858448e-05	0.0	8.937999999858448e-05	0.0	8.937999999858448e-05	0.0	0.0033146978839622312
26.401597472999995	serial	weighted-windows	37.54234313964844	161954	402	success	8	394	8	0	0	0	0	0	0	0.00012607400000064217	16.0	0.00012607400000064217	2.0	0.00012607400000064217	1.0	0.00012607400000064217	0.0	0.00012607400000064217	0.0	0.00012607400000064217	0.0	0.0024821862998135272
47.350557419	serial	weighted-windows	28.156757354736328	277129	533	success	8	520	13	0	0	0	0	0	0	0.00019297000000051412	25.0	0.00019297000000051412	4.0	0.00019297000000051412	1.0	0.00019297000000051412	0.0	0.00019297000000051412	0.0	0.00019297000000051412	0.0	0.0019232920408907043
62.52152803	serial	weighted-windows	21.117568016052246	441025	685	timeout	8	659	25	1	0	0	0	0	0	0.00037865999999553424	55.0	0.00037865999999553424	8.0	0.00037865999999553424	4.0	0.00037865999999553424	2.0	0.00037865999999553424	0.0	0.00037865999999553424	0.0	0.0015531999319766453
