duration-s	episode-class	frequency-measure	frequency-threshold	num-candidates	num-frequent-episodes	status	window-width	num-frequent-1-episodes	num-frequent-2-episodes	num-frequent-3-episodes	num-frequent-4-episodes	num-frequent-5-episodes	num-frequent-6-episodes	num-frequent-7-episodes	num-frequent-8-episodes	duration-rules-0.0	num-confident-rules-0.0	duration-rules-0.2	num-confident-rules-0.2	duration-rules-0.4	num-confident-rules-0.4	duration-rules-0.6	num-confident-rules-0.6	duration-rules-0.8	num-confident-rules-0.8	duration-rules-1.0	num-confident-rules-1.0	percentage-frequent-of-candidates
0.08775366899999901	serial	minimal-windows	500.0	6734	4	success	8	4	0	0	0	0	0	0	0	1.6909999999981107e-06	0.0	1.6909999999981107e-06	0.0	1.6909999999981107e-06	0.0	1.6909999999981107e-06	0.0	1.6909999999981107e-06	0.0	1.6909999999981107e-06	0.0	0.000594000594000594
0.09881827300000001	serial	minimal-windows	375.0	6743	5	success	8	5	0	0	0	0	0	0	0	1.6429999999956202e-06	0.0	1.6429999999956202e-06	0.0	1.6429999999956202e-06	0.0	1.6429999999956202e-06	0.0	1.6429999999956202e-06	0.0	1.6429999999956202e-06	0.0	0.0007415097137772505
0.168577628	serial	minimal-windows	281.0	6943	15	success	8	15	0	0	0	0	0	0	0	2.14900000000684e-06	0.0	2.14900000000684e-06	0.0	2.14900000000684e-06	0.0	2.14900000000684e-06	0.0	2.14900000000684e-06	0.0	2.14900000000684e-06	0.0	0.002160449373469682
0.298623759999999	serial	minimal-windows	210.0	7502	29	success	8	28	1	0	0	0	0	0	0	2.0209999999964978e-05	2.0	2.0209999999964978e-05	1.0	2.0209999999964978e-05	0.0	2.0209999999964978e-05	0.0	2.0209999999964978e-05	0.0	2.0209999999964978e-05	0.0	0.0038656358304452144
0.5931929380000001	serial	minimal-windows	157.0	8931	51	success	8	47	4	0	0	0	0	0	0	6.19400000001491e-05	7.0	6.19400000001491e-05	4.0	6.19400000001491e-05	1.0	6.19400000001491e-05	0.0	6.19400000001491e-05	0.0	6.19400000001491e-05	0.0	0.005710446758481693
1.827511119	serial	minimal-windows	117.0	15007	98	success	8	91	7	0	0	0	0	0	0	9.409400000004453e-05	13.0	9.409400000004453e-05	7.0	9.409400000004453e-05	2.0	9.409400000004453e-05	0.0	9.409400000004453e-05	0.0	9.409400000004453e-05	0.0	0.006530285866595589
3.768735661	serial	minimal-windows	87.0	25784	154	success	8	138	16	0	0	0	0	0	0	0.00017548100000031042	31.0	0.00017548100000031042	19.0	0.00017548100000031042	5.0	0.00017548100000031042	1.0	0.00017548100000031042	1.0	0.00017548100000031042	0.0	0.005972696245733789
9.673963088	serial	minimal-windows	65.0	53418	245	success	8	216	28	1	0	0	0	0	0	0.0003864209999981938	60.0	0.0003864209999981938	33.0	0.0003864209999981938	9.0	0.0003864209999981938	4.0	0.0003864209999981938	2.0	0.0003864209999981938	0.0	0.004586468980493467
17.925655174000003	serial	minimal-windows	48.0	98627	367	success	8	303	59	4	1	0	0	0	0	0.0005914830000008919	153.0	0.0005914830000008919	88.0	0.0005914830000008919	41.0	0.0005914830000008919	19.0	0.0005914830000008919	14.0	0.0005914830000008919	2.0	0.003721090573575187
27.847239965	serial	minimal-windows	36.0	176766	556	success	8	412	125	17	2	0	0	0	0	0.001305451000000346	367.0	0.001305451000000346	184.0	0.001305451000000346	92.0	0.001305451000000346	43.0	0.001305451000000346	29.0	0.001305451000000346	4.0	0.003145401264949142
51.118180081	serial	minimal-windows	27.0	313348	888	success	8	553	262	51	15	6	1	0	0	0.004151788000001488	1263.0	0.004151788000001488	751.0	0.004151788000001488	479.0	0.004151788000001488	332.0	0.004151788000001488	232.0	0.004151788000001488	61.0	0.0028339099020896893
72.01166585099999	serial	minimal-windows	20.0	513121	1755	timeout	8	710	521	251	166	81	23	3	0	0.021586095000003525	8820.0	0.021586095000003525	6616.0	0.021586095000003525	5526.0	0.021586095000003525	4655.0	0.021586095000003525	3808.0	0.021586095000003525	1932.0	0.0034202459069108456
