duration-s	episode-class	frequency-measure	frequency-threshold	num-candidates	num-frequent-episodes	status	window-width	num-frequent-1-episodes	num-frequent-2-episodes	num-frequent-3-episodes	num-frequent-4-episodes	num-frequent-5-episodes	num-frequent-6-episodes	num-frequent-7-episodes	num-frequent-8-episodes	duration-rules-0.0	num-confident-rules-0.0	duration-rules-0.2	num-confident-rules-0.2	duration-rules-0.4	num-confident-rules-0.4	duration-rules-0.6	num-confident-rules-0.6	duration-rules-0.8	num-confident-rules-0.8	duration-rules-1.0	num-confident-rules-1.0	percentage-frequent-of-candidates
0.245373633999999	parallel	fixed-windows	500.0	29952	232	success	8	215	16	1	0	0	0	0	0	0.00034304199999998786	37.0	0.00034304199999998786	20.0	0.00034304199999998786	6.0	0.00034304199999998786	3.0	0.00034304199999998786	1.0	0.00034304199999998786	0.0	0.007745726495726496
0.313643651	parallel	fixed-windows	375.0	51294	331	success	8	298	32	1	0	0	0	0	0	0.0004077120000000045	69.0	0.0004077120000000045	35.0	0.0004077120000000045	8.0	0.0004077120000000045	3.0	0.0004077120000000045	1.0	0.0004077120000000045	0.0	0.006452996451826724
0.49947079799999905	parallel	fixed-windows	281.0	90614	467	success	8	409	56	2	0	0	0	0	0	0.0010834120000000613	123.0	0.0010834120000000613	60.0	0.0010834120000000613	21.0	0.0010834120000000613	5.0	0.0010834120000000613	2.0	0.0010834120000000613	0.0	0.005153729004348114
0.7990484329999991	parallel	fixed-windows	210.0	158963	698	success	8	551	134	12	1	0	0	0	0	0.0013126889999997005	349.0	0.0013126889999997005	147.0	0.0013126889999997005	59.0	0.0013126889999997005	26.0	0.0013126889999997005	9.0	0.0013126889999997005	0.0	0.00439095890238609
1.143925376	parallel	fixed-windows	157.0	250353	974	success	8	697	242	31	4	0	0	0	0	0.002669700000000219	714.0	0.002669700000000219	285.0	0.002669700000000219	124.0	0.002669700000000219	63.0	0.002669700000000219	25.0	0.002669700000000219	0.0	0.0038905066046742
1.72044166	parallel	fixed-windows	117.0	423026	1420	success	8	911	422	73	13	1	0	0	0	0.00613626899999975	1471.0	0.00613626899999975	578.0	0.00613626899999975	325.0	0.00613626899999975	188.0	0.00613626899999975	88.0	0.00613626899999975	6.0	0.0033567676691267203
2.465304319	parallel	fixed-windows	87.0	693642	2157	success	8	1170	772	165	43	7	0	0	0	0.012570970999999709	3281.0	0.012570970999999709	1350.0	0.012570970999999709	871.0	0.012570970999999709	523.0	0.012570970999999709	242.0	0.012570970999999709	53.0	0.0031096732896796907
3.504545103	parallel	fixed-windows	65.0	964805	3258	success	8	1381	1307	401	135	30	4	0	0	0.029033833000001508	7866.0	0.029033833000001508	3735.0	0.029033833000001508	2556.0	0.029033833000001508	1692.0	0.029033833000001508	892.0	0.029033833000001508	297.0	0.0033768481713921466
5.534862619	parallel	fixed-windows	48.0	1629267	5754	success	8	1796	2399	903	474	162	20	0	0	0.09248950000000278	22314.0	0.09248950000000278	12654.0	0.09248950000000278	9401.0	0.09248950000000278	6477.0	0.09248950000000278	3746.0	0.09248950000000278	1669.0	0.0035316495086440713
7.56203116	parallel	fixed-windows	36.0	2153370	9273	success	8	2062	4044	1532	1014	485	126	10	0	0.2937499720000005	52931.0	0.2937499720000005	32400.0	0.2937499720000005	24105.0	0.2937499720000005	15193.0	0.2937499720000005	8380.0	0.2937499720000005	5188.0	0.004306273422588779
10.019191228999997	parallel	fixed-windows	27.0	2938534	13887	success	8	2405	6717	2378	1514	692	166	15	0	0.3909547019999948	79411.0	0.3909547019999948	46668.0	0.3909547019999948	34802.0	0.3909547019999948	22289.0	0.3909547019999948	12729.0	0.3909547019999948	7296.0	0.004725825870995537
16.053163098	parallel	fixed-windows	20.0	4381367	24374	success	8	2930	11287	4656	3113	1709	585	92	2	0.8881726259999994	187090.0	0.8881726259999994	117848.0	0.8881726259999994	87962.0	0.8881726259999994	55110.0	0.8881726259999994	31824.0	0.8881726259999994	22003.0	0.005563103935369943
28.370027071000003	parallel	fixed-windows	15.0	7724460	38912	success	8	3887	17981	7722	5163	2914	1047	192	6	1.651842105	323816.0	1.651842105	205478.0	1.651842105	153244.0	1.651842105	96350.0	1.651842105	57571.0	1.651842105	41115.0	0.005037504239778574
39.029517283000004	parallel	fixed-windows	11.0	8063989	67598	success	8	3925	32026	14577	8648	5469	2297	582	74	3.542346552000012	647431.0	3.542346552000012	396496.0	3.542346552000012	283670.0	3.542346552000012	171416.0	3.542346552000012	111071.0	3.542346552000012	86346.0	0.008382699926798015
