count	time
0	3000121
1	3000402
2	3000977
3	3001346
4	3001461
5	3001548
6	3001800
7	3002595
8	3002820
9	3002899
10	3002942
11	3003057
12	3003072
13	3003099
14	3003118
15	3003259
16	3003429
17	3003775
18	3004000
19	3004618
20	3004765
21	3004793
22	3004918
23	3005704
24	3005738
25	3005892
26	3006055
27	3006158
28	3006202
29	3006838
30	3007278
31	3008002
32	3008095
33	3008315
34	3008775
35	3008996
36	3010431
37	3010535
38	3010832
39	3011197
40	3011588
41	3011748
42	3011831
43	3011849
44	3012039
45	3012536
46	3013752
47	3013831
48	3013958
49	3014146
50	3014301
51	3014687
52	3014729
53	3015267
54	3015303
55	3016577
56	3016967
57	3019511
58	3020053
59	3020199
60	3020941
61	3021062
62	3021248
63	3021879
64	3044476
65	3044635
66	3044989
67	3045095
68	3045906
69	3047079
70	3047361
71	3047517
72	3047601
73	3047659
74	3047725
75	3047788
76	3047866
77	3047883
78	3047889
79	3048091
80	3048250
81	3048378
82	3048468
83	3048576
84	3048658
85	3048683
86	3048751
87	3048835
88	3048851
89	3048908
90	3049026
91	3049030
92	3049034
93	3049173
94	3049181
95	3049234
96	3049238
97	3049315
98	3049367
99	3049412
100	3049413
101	3049422
102	3049560
103	3049577
104	3049577
105	3049584
106	3049792
107	3049855
108	3049868
109	3049871
110	3049992
111	3050004
112	3050054
113	3050144
114	3050145
115	3050183
116	3050236
117	3050388
118	3050419
119	3050422
120	3050435
121	3050503
122	3050565
123	3050596
124	3050603
125	3050765
126	3050770
127	3050835
128	3050857
129	3050915
130	3050963
131	3051094
132	3051108
133	3051160
134	3051287
135	3051298
136	3051365
137	3051458
138	3051520
139	3051595
140	3051641
141	3051726
142	3051773
143	3051798
144	3051895
145	3051958
146	3052086
147	3052090
148	3052116
149	3052156
150	3052239
151	3052338
152	3052393
153	3052408
154	3052427
155	3052488
156	3052554
157	3052693
158	3052695
159	3052793
160	3052851
161	3052862
162	3053153
163	3053225
164	3053260
165	3053303
166	3053336
167	3053385
168	3053422
169	3053452
170	3053500
171	3053535
172	3053627
173	3053679
174	3053692
175	3053714
176	3053740
177	3053755
178	3053974
179	3053974
180	3053991
181	3054121
182	3054197
183	3054230
184	3054277
185	3054349
186	3054360
187	3054360
188	3054418
189	3054480
190	3054553
191	3054556
192	3054718
193	3054941
194	3055106
195	3055119
196	3055175
197	3055351
198	3055371
199	3055506
200	3055558
201	3055558
202	3055758
203	3055852
204	3055879
205	3056477
206	3056643
207	3057091
208	3057275
209	3057290
210	3057434
211	3057459
212	3057580
213	3058340
214	3058430
215	3058673
216	3059094
217	3059122
218	3059137
219	3059242
220	3059292
221	3059420
222	3059427
223	3059558
224	3059580
225	3060502
226	3061257
227	3061389
228	3061566
229	3062070
230	3062252
231	3062809
232	3062981
233	3063728
234	3063753
235	3064099
236	3064338
237	3064812
238	3066101
239	3066321
240	3066377
241	3066537
242	3066548
243	3066601
244	3066723
245	3066736
246	3069200
247	3069489
248	3070161
249	3070630
250	3071368
251	3071429
252	3071482
253	3071543
254	3071642
255	3071812
256	3072056
257	3072077
258	3072337
259	3072953
260	3073224
261	3074994
262	3075266
263	3075296
264	3075430
265	3075751
266	3076496
267	3076520
268	3076669
269	3076708
270	3076806
271	3076825
272	3076882
273	3076960
274	3076975
275	3077149
276	3077238
277	3077290
278	3077451
279	3077815
280	3078610
281	3078686
282	3078816
283	3078837
284	3078849
285	3078973
286	3078977
287	3079164
288	3079192
289	3079204
290	3079205
291	3079255
292	3079354
293	3079377
294	3079396
295	3079507
296	3079541
