rank	count
0	1289
1	708
2	439
3	372
4	369
5	345
6	344
7	308
8	307
9	306
10	271
11	251
12	250
13	231
14	230
15	220
16	199
17	189
18	188
19	169
20	169
21	164
22	164
23	162
24	159
25	154
26	153
27	151
28	145
29	145
30	145
31	141
32	140
33	133
34	133
35	131
36	128
37	127
38	126
39	119
40	117
41	116
42	116
43	114
44	109
45	104
46	104
47	101
48	101
49	100
50	100
51	99
52	98
53	96
54	95
55	90
56	89
57	88
58	86
59	85
60	82
61	82
62	82
63	78
64	77
65	75
66	74
67	73
68	73
69	72
70	72
71	72
72	72
73	71
74	70
75	70
76	65
77	62
78	60
79	60
80	60
81	59
82	58
83	58
84	57
85	57
86	56
87	54
88	53
89	53
90	53
91	52
92	52
93	51
94	50
95	50
96	49
97	47
98	47
99	45
100	45
101	44
102	44
103	44
104	43
105	42
106	41
107	41
108	41
109	41
110	40
111	40
112	40
113	39
114	39
115	39
116	38
117	38
118	37
119	36
120	35
121	35
122	35
123	34
124	32
125	31
126	31
127	31
128	31
129	31
130	30
131	29
132	29
133	28
134	27
135	27
136	26
137	25
138	25
139	24
140	24
141	23
142	23
143	23
144	22
145	22
146	22
147	21
148	20
149	20
150	20
151	19
152	19
153	18
154	18
155	18
156	18
157	18
158	16
159	16
160	16
161	16
162	15
163	15
164	15
165	14
166	14
167	14
168	13
169	13
170	12
171	12
172	12
173	12
174	11
175	11
176	11
177	11
178	10
179	10
180	10
181	9
182	9
183	9
184	9
185	9
186	9
187	9
188	8
189	8
190	8
191	8
192	8
193	7
194	7
195	6
196	6
197	6
198	6
199	6
200	5
201	5
202	5
203	5
204	5
205	5
206	5
207	4
208	4
209	4
210	4
211	3
212	3
213	3
214	3
215	3
216	3
217	3
218	3
219	3
220	3
221	3
222	2
223	2
224	2
225	2
226	2
227	2
228	2
229	2
230	2
231	2
232	2
233	2
234	2
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
